stage,cohort,scheme,fold,label,count,minimum,status
stage1,common_valid,exploratory,1,0,131,1,ok
stage1,common_valid,exploratory,1,1,130,1,ok
stage1,common_valid,exploratory,2,0,120,1,ok
stage1,common_valid,exploratory,2,1,128,1,ok
stage1,common_valid,exploratory,3,0,121,1,ok
stage1,common_valid,exploratory,3,1,127,1,ok
stage1,common_valid,exploratory,4,0,119,1,ok
stage1,common_valid,exploratory,4,1,134,1,ok
stage1,common_valid,exploratory,5,0,118,1,ok
stage1,common_valid,exploratory,5,1,131,1,ok
stage1,common_valid,exploratory,6,0,124,1,ok
stage1,common_valid,exploratory,6,1,122,1,ok
stage1,common_valid,exploratory,7,0,120,1,ok
stage1,common_valid,exploratory,7,1,127,1,ok
stage1,common_valid,exploratory,8,0,120,1,ok
stage1,common_valid,exploratory,8,1,123,1,ok
stage1,common_valid,strict,1,0,20,20,ok
stage1,common_valid,strict,1,1,41,20,ok
stage1,common_valid,strict,2,0,19,20,insufficient
stage1,common_valid,strict,2,1,45,20,ok
stage1,common_valid,strict,3,0,18,20,insufficient
stage1,common_valid,strict,3,1,42,20,ok
stage1,common_valid,strict,4,0,17,20,insufficient
stage1,common_valid,strict,4,1,45,20,ok
stage1,common_valid,strict,5,0,18,20,insufficient
stage1,common_valid,strict,5,1,46,20,ok
stage1,common_valid,strict,6,0,20,20,ok
stage1,common_valid,strict,6,1,44,20,ok
stage1,common_valid,strict,7,0,17,20,insufficient
stage1,common_valid,strict,7,1,39,20,ok
stage1,common_valid,strict,8,0,18,20,insufficient
stage1,common_valid,strict,8,1,41,20,ok
